token_name,symbol,coingecko_id,chain,contract_address,tier,category,notes
Uniswap,UNI,uniswap,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,A,DEX,
Chainlink,LINK,chainlink,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,A,Infrastructure & Middleware,
Aave,AAVE,aave,ethereum,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,A,Lending & Borrowing,
Maker,MKR,maker,ethereum,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,A,Lending & Borrowing,
Lido Dao,LDO,lido-dao,ethereum,0x5a98fcbea516cf06857215779fd812ca3bef1b32,A,Liquid staking,
Curve DAO,CRV,curve-dao-token,ethereum,0xd533a949740bb3306d119cc777fa900ba034cd52,B,DEX,
Synthetix,SNX,havven,ethereum,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,B,Derivatives,
Compound,COMP,compound-governance-token,ethereum,0xc00e94cb662c3520282e6f5717214004a7f26888,B,Lending & Borrowing,
Balancer,BAL,balancer,ethereum,0xba100000625a3754423978a60c9317c58a424e3d,B,DEX,
1inch,1INCH,1inch,ethereum,0x111111111117dc0aa78b770fa6a738034120c302,B,DEX aggregator,
Ethereum Name Service,ENS,ethereum-name-service,ethereum,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,B,Infrastructure & Middleware,
Rocket Pool,RPL,rocket-pool,ethereum,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,B,Liquid Staking,
Sushi,SUSHI,sushi,ethereum,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,C,DEX,
Yearn Finance,YFI,yearn-finance,ethereum,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,C,Yield Strategies,
Basic Attention Token,BAT,basic-attention-token,ethereum,0x0d8775f648430679a709e98d2b0cb6250d2887ef,C,Web3 Utility,
Pepe,PEPE,pepe,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,C,Meme,
Shiba Inu,SHIB,shiba-inu,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,C,Meme,
FTX Token,FTT,ftx-token,ethereum,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,D,CEX,
Celsius Network,CEL,celsius-degree-token,ethereum,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,D,CEFi Lending Platforms,
Voyager Token,VGX,ethos,ethereum,0x3c4b6e6e1ea3d4863700d7f76b36b7f3d3f13e3d,D,CEFi Lending Platforms,
