coingecko_id,pulled_at_utc,current_price_usd,market_cap_usd,volume_24h_usd,circulating_supply,max_supply,fdv_usd,token_name_x,symbol_x,tier_x,category_x,chain_x,token_name_y,symbol_y,tier_y,category_y,chain_y,token_name,symbol,tier,category,chain,avg_vol_7d,avg_vol_30d,max_drawdown_365d,avg_vol_mcap_ratio,momentum_7v30,flag_zero_market_cap,flag_zero_supply,flag_missing_fdv,peer_group,vol_score,drawdown_score,liquidity_score,trend_stability_score,market_health_raw,penalty,market_health_score
uniswap,2026-01-19T12:34:30.906620+00:00,4.98,3160631041.0,382896158,634610361.82848,1000000000.0,4480843112,Uniswap,UNI,A,DEX,ethereum,Uniswap,UNI,A,DEX,ethereum,Uniswap,UNI,A,DEX,ethereum,0.0501574188095836,0.0553254634012736,-0.6468545741973251,0.086597560952752,-0.0180155466957556,False,False,False,A_DEX,0.0,100.0,100.0,98.19844533042443,69.72976679956366,0,69.72976679956366
chainlink,2026-01-19T12:34:45.019802+00:00,12.75,9024026753.0,648920230,708099970.4525867,1000000000.0,12744001030,Chainlink,LINK,A,Infrastructure & Middleware,ethereum,Chainlink,LINK,A,Infrastructure & Middleware,ethereum,Chainlink,LINK,A,Infrastructure & Middleware,ethereum,0.0433847441973496,0.0462304818139984,-0.5907240190091165,0.0650492060326715,-0.0137020859538757,False,False,False,A_Infrastructure & Middleware,0.0,100.0,100.0,98.62979140461243,69.79446871069186,0,69.79446871069186
aave,2026-01-19T12:34:47.605564+00:00,163.46,2481823459.0,375268933,15183571.902578924,16000000.0,2615272322,Aave,AAVE,A,Lending & Borrowing,ethereum,Aave,AAVE,A,Lending & Borrowing,ethereum,Aave,AAVE,A,Lending & Borrowing,ethereum,0.0468892193910513,0.0492086698203243,-0.6627794886225957,0.1194244971923017,-0.0151252266282837,False,False,False,A_Lending & Borrowing,0.0,50.0,100.0,98.48747733717163,54.77312160057574,0,54.77312160057574
lido-dao,2026-01-19T12:35:14.316675+00:00,0.546995,462970893.0,56720533,846566802.5927889,1000000000.0,546880520,Lido Dao,LDO,A,Liquid staking,ethereum,Lido Dao,LDO,A,Liquid staking,ethereum,Lido Dao,LDO,A,Liquid staking,ethereum,0.0549557975674207,0.0590791240143689,-0.7802261837262198,0.1319417541354432,-0.0331359960559184,False,False,False,A_Liquid staking,0.0,100.0,100.0,96.68640039440815,69.50296005916123,0,69.50296005916123
curve-dao-token,2026-01-19T12:35:17.069355+00:00,0.390634,573741000.0,74930533,1468781451.0,3030303031.0,915416077,Curve DAO,CRV,B,DEX,ethereum,Curve DAO,CRV,B,DEX,ethereum,Curve DAO,CRV,B,DEX,ethereum,0.0539692926501018,0.0566780197702648,-0.6923433438614597,0.202697322824963,-0.0101112122322796,False,False,False,B_DEX,0.0,100.0,100.0,98.98887877677204,69.84833181651581,0,69.84833181651581
havven,2026-01-19T12:35:19.835003+00:00,0.43845,150455469.0,30401898,343466216.99839866,343889850.0967736,150641041,Synthetix,SNX,B,Derivatives,ethereum,Synthetix,SNX,B,Derivatives,ethereum,Synthetix,SNX,B,Derivatives,ethereum,0.0561019363510744,0.0609391337776389,-0.8298854313556095,0.1352847228792704,-0.0271963888918969,False,False,False,B_Derivatives,0.0,100.0,100.0,97.2803611108103,69.59205416662155,0,69.59205416662155
compound-governance-token,2026-01-19T12:35:34.419448+00:00,25.11,242796471.0,20153644,9668189.278360886,10000000.0,251129208,Compound,COMP,B,Lending & Borrowing,ethereum,Compound,COMP,B,Lending & Borrowing,ethereum,Compound,COMP,B,Lending & Borrowing,ethereum,0.0406437124362845,0.044459802454068,-0.7071548320734163,0.1248405792252345,-0.0266841128378305,False,False,False,B_Lending & Borrowing,0.0,100.0,100.0,97.33158871621696,69.59973830743255,0,69.59973830743255
balancer,2026-01-19T12:35:48.713127+00:00,0.537517,34727005.0,1872861,64580537.0262452,96150704.0,38330742,Balancer,BAL,B,DEX,ethereum,Balancer,BAL,B,DEX,ethereum,Balancer,BAL,B,DEX,ethereum,0.0406122241802541,0.0443721933242576,-0.8017727339161572,0.1078279475610934,-0.0426375742672754,False,False,False,B_DEX,50.0,50.0,50.0,95.73624257327246,56.860436385990866,0,56.860436385990866
ethereum-name-service,2026-01-19T12:36:17.600395+00:00,9.48,361944777.0,38719442,38194934.79101414,100000000.0,947625068,Ethereum Name Service,ENS,B,Infrastructure & Middleware,ethereum,Ethereum Name Service,ENS,B,Infrastructure & Middleware,ethereum,Ethereum Name Service,ENS,B,Infrastructure & Middleware,ethereum,0.0435678036379049,0.0468386517643409,-0.7462837238846465,0.1053108935709334,-0.0321249994741241,False,False,False,B_Infrastructure & Middleware,0.0,100.0,100.0,96.78750005258759,69.51812500788813,0,69.51812500788813
rocket-pool,2026-01-19T12:36:20.755197+00:00,2.05,45235640.0,5176255,22117293.65560728,,45235640,Rocket Pool,RPL,B,Liquid Staking,ethereum,Rocket Pool,RPL,B,Liquid Staking,ethereum,Rocket Pool,RPL,B,Liquid Staking,ethereum,0.0569062365372845,0.0603670293267477,-0.8124341509818163,0.0974654734335841,-0.0415592525508041,False,False,False,B_Liquid Staking,0.0,100.0,100.0,95.8440747449196,69.37661121173794,0,69.37661121173794
